Teste,Tempo LDE,Tempo AB
1,31461,8970
2,37921,2610
3,34266,2395
4,26641,2666
5,17762,2996
6,20773,2798
7,32314,2819
8,40429,2546
9,38251,2441
10,31687,2471
11,1454,1600
12,31806,2956
13,40893,2316
14,17255,2359
15,8664,2378
16,11368,1980
17,33039,2047
18,43000,2162
19,24335,2056
20,46444,2484
21,12529,1784
22,31139,2500
23,1426,1401
24,36876,3158
25,4803,1795
26,25812,2289
27,16538,2249
28,24811,2422
29,13080,2236
30,29791,2306
31,15008,1939
32,42701,2257
33,8509,2124
34,36002,4107
35,20301,2817
36,99409,2889
37,15420,2100
38,24594,1802
39,13147,2274
40,12223,2168
41,5250,1556
42,26153,2070
43,14536,2232
44,10853,1972
45,36669,13083
46,24583,3451
47,43005,3060
48,35732,2876
49,45703,3643
50,38186,3191
51,39212,103348
52,22082,993
53,46189,1039
54,5893,721
55,42831,710
56,24384,804
57,5536,637
58,43814,702
59,42292,711
60,46875,719
61,19699,675
62,6978,582
63,21511,710
64,4015,607
65,22007,722
66,37049,656
67,5842,585
68,11175,598
69,44607,623
70,20922,640
71,24761,673
72,33301,636
73,31490,675
74,4141,577
75,109534,767
76,37437,661
77,24712,631
78,31466,654
79,4340,573
80,7839,603
81,11489,558
82,40097,699
83,44621,651
84,19376,541
85,12564,570
86,43092,596
87,44400,703
88,11179,550
89,10701,622
90,21369,563
91,39426,616
92,35339,644
93,33558,658
94,27499,627
95,28412,657
96,44493,695
97,21156,606
98,18770,654
99,22424,499
100,11437,525
